Logging************pruning 85 of the network****************
Layer-wise pruning = False
Autoencoder layer-wise pruning percentages
encoder.0.weight : 1685 / 4608  0.3656684027777778
encoder.0.bias : 149 / 512  0.291015625
encoder.2.weight : 1867777 / 2097152  0.8906254768371582
encoder.2.bias : 159 / 256  0.62109375
encoder.4.weight : 122608 / 131072  0.9354248046875
encoder.4.bias : 86 / 128  0.671875
encoder.6.weight : 61947 / 73728  0.8402099609375
encoder.6.bias : 23 / 64  0.359375
encoder.9.weight : 8865 / 18432  0.48095703125
encoder.9.bias : 6 / 32  0.1875
decoder.0.weight : 82975 / 147456  0.5627102322048612
decoder.0.bias : 160 / 512  0.3125
decoder.2.weight : 452152 / 524288  0.8624114990234375
decoder.2.bias : 111 / 256  0.43359375
decoder.4.weight : 109668 / 131072  0.836700439453125
decoder.4.bias : 35 / 128  0.2734375
decoder.6.weight : 126098 / 204800  0.615712890625
decoder.6.bias : 19 / 64  0.296875
decoder.8.weight : 71 / 256  0.27734375
decoder.8.bias : 0 / 1  0.0
Fraction of weights pruned = 2834594/3334817 = 0.8499998650600618
Number of parameters in model 3334817
Loading saved autoencoder named ./mnist/before_train.pth
epoch [1/100], loss:0.0392
epoch [2/100], loss:0.0268
epoch [3/100], loss:0.0185
epoch [4/100], loss:0.0179
epoch [5/100], loss:0.0168
epoch [6/100], loss:0.0123
epoch [7/100], loss:0.0128
epoch [8/100], loss:0.0109
epoch [9/100], loss:0.0108
epoch [10/100], loss:0.0116
epoch [11/100], loss:0.0103
epoch [12/100], loss:0.0106
epoch [13/100], loss:0.0105
epoch [14/100], loss:0.0114
epoch [15/100], loss:0.0101
epoch [16/100], loss:0.0089
epoch [17/100], loss:0.0091
epoch [18/100], loss:0.0088
epoch [19/100], loss:0.0086
epoch [20/100], loss:0.0081
epoch [21/100], loss:0.0088
epoch [22/100], loss:0.0084
epoch [23/100], loss:0.0081
epoch [24/100], loss:0.0081
epoch [25/100], loss:0.0079
epoch [26/100], loss:0.0071
epoch [27/100], loss:0.0080
epoch [28/100], loss:0.0097
epoch [29/100], loss:0.0067
epoch [30/100], loss:0.0064
epoch [31/100], loss:0.0071
epoch [32/100], loss:0.0068
epoch [33/100], loss:0.0067
epoch [34/100], loss:0.0070
epoch [35/100], loss:0.0066
epoch [36/100], loss:0.0064
epoch [37/100], loss:0.0077
epoch [38/100], loss:0.0065
epoch [39/100], loss:0.0060
epoch [40/100], loss:0.0074
epoch [41/100], loss:0.0066
epoch [42/100], loss:0.0065
epoch [43/100], loss:0.0062
epoch [44/100], loss:0.0065
epoch [45/100], loss:0.0063
epoch [46/100], loss:0.0058
epoch [47/100], loss:0.0064
epoch [48/100], loss:0.0059
epoch [49/100], loss:0.0050
epoch [50/100], loss:0.0057
epoch [51/100], loss:0.0054
epoch [52/100], loss:0.0066
epoch [53/100], loss:0.0051
epoch [54/100], loss:0.0052
epoch [55/100], loss:0.0079
epoch [56/100], loss:0.0048
epoch [57/100], loss:0.0053
epoch [58/100], loss:0.0054
epoch [59/100], loss:0.0050
epoch [60/100], loss:0.0048
epoch [61/100], loss:0.0048
epoch [62/100], loss:0.0057
epoch [63/100], loss:0.0051
epoch [64/100], loss:0.0048
epoch [65/100], loss:0.0051
epoch [66/100], loss:0.0045
epoch [67/100], loss:0.0051
epoch [68/100], loss:0.0046
epoch [69/100], loss:0.0041
epoch [70/100], loss:0.0050
epoch [71/100], loss:0.0045
epoch [72/100], loss:0.0048
epoch [73/100], loss:0.0048
epoch [74/100], loss:0.0049
epoch [75/100], loss:0.0050
epoch [76/100], loss:0.0045
epoch [77/100], loss:0.0048
epoch [78/100], loss:0.0047
epoch [79/100], loss:0.0050
epoch [80/100], loss:0.0043
epoch [81/100], loss:0.0052
epoch [82/100], loss:0.0044
epoch [83/100], loss:0.0047
epoch [84/100], loss:0.0051
epoch [85/100], loss:0.0049
epoch [86/100], loss:0.0052
epoch [87/100], loss:0.0053
epoch [88/100], loss:0.0051
epoch [89/100], loss:0.0052
epoch [90/100], loss:0.0048
epoch [91/100], loss:0.0041
epoch [92/100], loss:0.0045
epoch [93/100], loss:0.0045
epoch [94/100], loss:0.0043
epoch [95/100], loss:0.0050
epoch [96/100], loss:0.0043
epoch [97/100], loss:0.0043
epoch [98/100], loss:0.0042
epoch [99/100], loss:0.0051
epoch [100/100], loss:0.0042
